mbbs_county,route,year,link,source,Note
chatham,4,2012,https://ebird.org/checklist/S10914666,ebird,
chatham,4,2013,https://ebird.org/checklist/S14418522,ebird,
chatham,11,2013,https://ebird.org/checklist/S14786431,ebird,
chatham,4,2014,https://ebird.org/checklist/S18551742,ebird,
chatham,3,2015,https://ebird.org/checklist/S23493324,ebird,
chatham,11,2016,https://ebird.org/checklist/S30696330,ebird,
chatham,4,2015,https://ebird.org/checklist/S23728955,ebird,
chatham,3,2016,https://ebird.org/checklist/S30095873,ebird,
chatham,4,2016,https://ebird.org/checklist/S30320694,ebird,
chatham,2,2017,https://ebird.org/checklist/S37236381,ebird,
chatham,3,2017,https://ebird.org/checklist/S37534504,ebird,
chatham,4,2017,https://ebird.org/checklist/S37597683,ebird,
chatham,8,2017,https://ebird.org/checklist/S37625135,ebird,
chatham,2,2018,https://ebird.org/checklist/S46075923,ebird,
chatham,4,2018,https://ebird.org/checklist/S46346482,ebird,
chatham,3,2018,https://ebird.org/checklist/S46296632,ebird,",,,,,1,,,"
chatham,2,2019,https://ebird.org/checklist/S57343578,ebird,
chatham,4,2019,https://ebird.org/checklist/S68956274,ebird,
chatham,3,2019,https://ebird.org/checklist/S57230615,ebird,
durham,2,2014,https://ebird.org/checklist/S18852699,ebird,In overall checklist note by quarter stops
durham,6,2017,https://ebird.org/checklist/S37468920,ebird,"Stops: 0,1,0, "
durham,5,2017,https://ebird.org/checklist/S37487024,ebird,
durham,3,2017,https://ebird.org/checklist/S37510488,ebird,"1=, 2=, 3="
durham,6,2018,https://ebird.org/checklist/S46302860,ebird,
durham,4,2018,https://ebird.org/checklist/S46457285,ebird,"Stops = 0,1,0,"
durham,3,2018,https://ebird.org/checklist/S46231167,ebird,
durham,5,2018,https://ebird.org/checklist/S46337127,ebird,
durham,6,2019,https://ebird.org/checklist/S56622883,ebird,
durham,5,2019,https://ebird.org/checklist/S56778629,ebird,
durham,3,2019,https://ebird.org/checklist/S57390667,ebird,
orange,12,2015,https://ebird.org/checklist/S24083367,ebird,
orange,12,2016,https://ebird.org/checklist/S29843524,ebird,
orange,8,2017,https://ebird.org/checklist/S37031309,ebird,
orange,2,2017,https://ebird.org/checklist/S37211310,ebird,"stop 5=1, stop 9=18"
orange,1,2017,https://ebird.org/checklist/S37213429,ebird,
orange,12,2017,https://ebird.org/checklist/S37340636,ebird,
orange,3,2017,https://ebird.org/checklist/S37406404,ebird,st 6 OR st14=2;st 18=1;
orange,10,2017,https://ebird.org/checklist/S37523618,ebird,st 6 OR st14=2;st 18=1;
orange,11,2017,https://ebird.org/checklist/S37797061,ebird,"1=, 2=, 3="
orange,12,2018,https://ebird.org/checklist/S46295712,ebird,",,,,,1,,,"
orange,1,2018,https://ebird.org/checklist/S55250475,ebird,
orange,11,2018,https://ebird.org/checklist/S46247520,ebird,
orange,1,2019,https://ebird.org/checklist/S56446906,ebird,
orange,4,2019,https://ebird.org/checklist/S56754478,ebird,
orange,12,2019,https://ebird.org/checklist/S57003189,ebird,
orange,6,2019,https://ebird.org/checklist/S57275235,ebird,
orange,9,2019,https://ebird.org/checklist/S57292497,ebird,
orange,11,2019,https://ebird.org/checklist/S57685632,ebird,
orange,6,2020,https://ebird.org/checklist/S70215462,ebird,
orange,9,2020,https://ebird.org/checklist/S70222185,ebird,
orange,11,2020,https://ebird.org/checklist/S70500458,ebird,
orange,11,2021,https://ebird.org/checklist/S89966651,ebird,
